Ano,Gestao,Dívida_Consolidada_Liquida,Equilibrio_Fiscal_Resultado,Merenda_Escolar_Investimento,PIB_do_Estado,Renda_Per_Capita_Mensal,Saude_Percentual_Aplicado,Seguranca_Taxa_Homicidios_100k,Fonte_Principal
2015,Pimentel,R$ 78.4 bi,Déficit de R$ 4.9 bi,Baixo (Atrasos repasses),R$ 518 bi,R$ 1.134,10.2%,21.8,SEF-MG / IBGE
2016,Pimentel,R$ 87.2 bi,Déficit de R$ 4.2 bi,Baixo (Kits reduzidos),R$ 542 bi,R$ 1.155,10.5%,22.0,SEF-MG / IBGE
2017,Pimentel,R$ 94.6 bi,Déficit de R$ 5.3 bi,Crise de abastecimento,R$ 576 bi,R$ 1.224,11.1%,20.4,SEF-MG / IBGE / FJP
2018,Pimentel,R$ 101.9 bi,Déficit de R$ 6.1 bi,Parcelamento crônico,R$ 604 bi,R$ 1.282,11.3%,18.9,SEF-MG / IBGE / ALMG
2019,Zema,R$ 114.2 bi,Déficit de R$ 4.8 bi,Início da regularização,R$ 648 bi,R$ 1.352,11.8%,15.2,SEF-MG / IBGE
2020,Zema,R$ 123.5 bi,Déficit de R$ 3.1 bi,Alimentação em Casa (Pandemia),R$ 681 bi,R$ 1.314,12.1%,12.8,SEF-MG / IBGE / FJP
2021,Zema,R$ 138.1 bi,Superávit de R$ 15.6 bi,Aumento de repasses (+150%),R$ 851 bi,R$ 1.416,12.2%,11.4,Agência Minas / SEF
2022,Zema,R$ 149.3 bi,Superávit de R$ 2.4 bi,Implementação do Mãos à Horta,R$ 925 bi,R$ 1.655,12.4%,11.1,Agência Minas / IBGE
2023,Zema,R$ 162.8 bi,Superávit de R$ 1.1 bi,Investimento recorde estadual,R$ 1.028 tri,R$ 1.956,12.6%,10.5,SEF-MG / IBGE / FJP
2024,Zema,R$ 184.5 bi,Superávit de R$ 1.5 bi,Manutenção e infraestrutura escolar,R$ 1.102 tri,R$ 2.118,12.7%,10.2,SEF-MG / IBGE / SES
2025,Zema,R$ 201.2 bi,Superávit de R$ 1.8 bi,Merenda 2000% maior que 2018,R$ 1.157 tri,R$ 2.289,12.3%,9.8,FJP / IBGE / Agência Minas
2026,Zema,R$ 212.4 bi,Equilibrado (Prev. Superávit),Kits nutricionais padronizados,R$ 1.210 tri (Proj),R$ 2.353 (Proj),12.4% (Proj),9.5 (Proj),SEF-MG / IBGE (Dados parciais)
